"title","price"
"سایه چشم خشک و مرطوب گلدن رز","348,000"
"ژل پاک کننده کوتیکول ناخن گلدن رز","135,000"
"براش سایه دو سر سه عددی گلدن رز","125,000"
"مداد چشم دریم گلدن رز","57,000"
"کانسیلر مدادی گلدن رز","88,000"
"پالت پوشاننده قوی گلدن رز","285,000"
"ریمل حجم دهنده آبی اسنشالز گلدن رز","115,000"
"برق لب میوه ای گلدن رز","110,000"
"پاک کننده آرایش دوفاز گلدن رز","335,000"
"مداد چشم True Kohl گلدن رز","125,000"
"استیک پوشاننده موهای سفید گلدن رز","112,000"
"استیک هایلایتر گلدن رز","83,000"
"رژ گونه ساده گلدن رز","145,000"
"کیت 3 رنگ سایه ابرو گلدن رز","195,000"
"پنکیک مینرال تراکوتا گلدن رز","245,000"
"خط چشم اکلیلی گلدن رز","113,000"
"خط چشم ولوم گلدن رز","88,000"
"پرایمر آرایش براق گلدن رز","225,000"
"کرم پودر استیکی گلدن رز","148,000"
"کرم پودر ساتین گلدن رز","255,000"
"رژ گونه تراکوتا استارداست گلدن رز","278,000"
"خط چشم کوزه ای گلدن رز","128,000"
"خط چشم ماژیکی گلدن رز","185,000"
"مداد چشم رنگی دایموند بریز گلدن رز",""
"شانه ابرو و مژه گلدن رز",""
"خط چشم ضد آب فوق مشکی گلدن رز",""
"پد پاک کننده آرایش گلدن رز",""
"ریمل حجم دهنده ضربدر 4 گلدن رز",""
"ریمل حجم دهنده گلدن رز",""
"شیر پاک کن صورت گلدن رز",""
"تونیک پاک کننده صورت گلدن رز",""
"مداد چشم ضد آب گلدن رز",""
"براش Precision Face گلدن رز",""
"براش پودر Large Powder گلدن رز",""
"براش کانتور زاویه دار Angled Contour گلدن رز",""
"براش سایه چشم زاویه دار Angled Eyeshadow گلدن رز",""
"خط چشم مویی آبی Cats Eyes گلدن رز 6ml",""
"پک 4 عددی رژ لب جامد مینی گلدن رز MIX3",""
"پک 4 عددی رژ لب جامد مینی گلدن رز MIX2",""
"پک 4 عددی رژ لب مات مینی Nude گلدن رز",""
"تینت لب Miss Beauty گلدن رز",""
"ژل فیکس مژه و ابرو گلدن رز",""
"کرم براق کننده بدن Diamond Breeze  گلدن رز",""
"ریمل گلیتر دایموند بریز گلدن رز",""
"براش کانتورینگ Kabuki گلدن رز",""
"پک رژ لب جامد مینی گلدن رز سری MIX1",""
"بالم براق کننده و آبرسان لب گلدن رز",""
"هایلایتر مایع دایموند بریز گلدن رز",""
"بالم لب عصاره گیلاس گلدن رز",""
"بالم لب عصاره انار گلدن رز",""
"رژ لب جامد Nude Look گلدن رز",""
"سایه چشم تراکوتا گلدن رز",""
"هایلایتر مدادی Nude Look گلدن رز",""
"پالت صورت سه رنگ Nude Look گلدن رز",""
"خط چشم ماژیکی سو کیوت گلدن رز",""
"مداد چشم سفید گلدن رز",""
"ژل تقویت کننده مژه گلدن رز",""
"ریمل حجم دهنده و بلند کننده پانورامیک لشز گلدن رز",""
"ریمل حجم دهنده و بلند کننده اسنشیال گلدن رز",""
"براش رژ گونه گلدن رز",""
"لاک درمانی افزایش رشد ناخن اکسیژن رسان گلدن رز",""
"پنکیک اچ دی گلدن رز",""
"براش کشویی لب گلدن رز",""
"کرم  پودر اچ دی گلدن رز",""
"مداد چشم متال گلدن رز",""
"سی سی کرم بنفش گلدن رز",""
"سی سی کرم سبز گلدن رز",""
"سایه ابرو گلدن رز",""
"دستمال مرطوب پاک کننده آرایش صورت و چشم گلدن رز",""
"سفت کننده ناخن گلدن رز",""
"براش گرد صورت گلدن رز",""
"براش خط چشم گلدن رز",""
"براش کوچک کابوکی گلدن رز",""
"ژل پاک کننده صورت گلدن رز",""
"هایلایتر و پرایمر رنگی مایع گلدن رز",""
"براش کانسیلر گلدن رز",""
"براش کانتورینگ شماره 4 گلدن رز",""
"براش کانتورینگ شماره 3گلدن رز",""
"براش کانتورینگ شماره 5 گلدن رز",""
"هایلایتر مایع گلدن رز",""
"براش کرم پودر گلدن رز",""
"کیت سه کاره کانتورینگ گلدن رز",""
"بالم لب توت فرنگی گلدن رز",""
"پد اسفنجی حرفه ای آرایش گلدن رز",""
"ریمل حجم دهنده ماکسیم آیز گلدن رز",""
"ست 6 عددی براش آرایشی گلدن رز",""
"پالت حرفه ای سایه چشم گلدن رز",""
"ریمل ضد آب حجم دهنده اسنشالز گلدن رز",""
"ریمل حجم دهنده و حالت دهنده اسنشالز گلدن رز",""
"ریمل ابرو ژله ای بادوام گلدن رز",""
"ریمل حجم دهنده و بلند کننده دفینتیو گلدن رز",""
"اسپری خشک کننده سریع لاک گلدن رز",""
"آب پاک کننده میسلار گلدن رز",""
"مژه مصنوعی گلدن رز",""
"مژه مصنوعی تکی گلدن رز",""
"براش مخروطی گلدن رز",""
"براش سایه چشم گلدن رز",""
"براش پرفکت فینیش گلدن رز",""
"براش شیدر سایه چشم گلدن رز",""
"براش دوتایی سایه چشم گلدن رز",""
"براش بادبزنی گلدن رز",""
"براش پرفکت کانتور گلدن رز",""
"براش کانتورینگ گلدن رز",""
"براش ابرو گلدن رز",""
"براش هایلایتر گلدن رز",""
"بالم لب حاوی ضد آفتاب گلدن رز",""
"ریمل پرفکت لش 4X گلدن رز",""
"براش کابوکی گلدن رز",""
"محلول درمانی 4 در1 ناخن گلدن رز",""
"روغن درمانی جلوگیری از جویدن ناخن گلدن رز",""
"تراش دوقلو گلدن رز",""
"رژ لب ویژن گلدن رز",""
"رژ گونه توپی گلدن رز",""
"رژ گونه بادوام گلدن رز",""
"رژ گونه استیکی گلدن رز",""
"تاپ کت سه بعدی گلدن رز",""
"لاک اکسپرس60 ثانیه ای گلدن رز",""
"تاپ کت ژلی گلدن رز",""
"تاپ کت مات کننده لاک گلدن رز",""
"لاک کالر اکسپرت گلدن رز",""
"لاک کارنوال گلدن رز",""
"تاپ کت خشک کننده سریع لاک گلدن رز",""
"ریمل سه بعدی گلدن رز",""
"ریمل واندر لش گلدن رز",""
"ریمل حجم دهنده میرکل لش گلدن رز",""
"رژ گونه تراکوتا حجیم گلدن رز",""
"پنکیک پاریس گلدن رز",""
"پنکیک برنزه کننده ترا گلدن رز",""
"پنکیک برنزه کننده مینرال گلدن رز",""
"ماژیک ابرو بادوام گلدن رز",""
"مداد ابرو بادوام گلدن رز",""
"خط چشم مات ضد آب گلدن رز",""
"لاک پاک کن اسفنجی گلدن رز",""
"لاک مات ساتین گلدن رز",""
"موس مات کننده گلدن رز",""
"تاپ کت براق کننده ناخن گلدن رز",""
"لاک ناخن آیس چیک گلدن رز",""
"لاک ریچ کالر گلدن رز",""
